Date,The We Company - SR GLBL 144A 25 - Bond Price
2019-07-08,96.75
2019-07-09,96
2019-07-10,97.5
2019-07-11,97.6
2019-07-12,98
2019-07-15,98.25
2019-07-16,97.688
2019-07-17,97.5
2019-07-18,97.313
2019-07-19,97.5
2019-07-22,96.75
2019-07-23,96.86
2019-07-24,97.125
2019-07-25,96.5
2019-07-26,97.45
2019-07-29,97.188
2019-07-30,96.5
2019-07-31,97.202
2019-08-01,97.25
2019-08-02,97
2019-08-05,96.375
2019-08-06,97
2019-08-07,96.25
2019-08-08,96.99
2019-08-09,96.5
2019-08-12,97.332
2019-08-13,98
2019-08-14,102.375
2019-08-15,105.125
2019-08-16,104
2019-08-19,103
2019-08-20,102.4
2019-08-21,101.5
2019-08-22,101.75
2019-08-23,101.875
2019-08-26,102
2019-08-27,102.25
2019-08-28,102.25
2019-08-29,102.25
2019-08-30,102
2019-09-03,101.875
2019-09-04,102.625
2019-09-05,103.375
2019-09-06,102.846
2019-09-09,100.438
2019-09-10,97.25
2019-09-11,99
2019-09-12,100.75
2019-09-13,103
2019-09-16,102.5
2019-09-17,96.75
2019-09-18,97
2019-09-19,98.5
2019-09-20,96.25
2019-09-23,95.125
2019-09-24,93.25
2019-09-25,91.625
2019-09-26,92.375
2019-09-27,87.25
2019-09-30,84.875
2019-10-01,85.25
2019-10-02,84.625
2019-10-03,83
2019-10-04,84.75
2019-10-07,83.5
2019-10-08,82.25
2019-10-09,81.75
2019-10-10,81.25
2019-10-11,90.5
2019-10-14,87
2019-10-15,87
